genus	group	subgroup	species	describer	individuals	hosts
Drosophila	nudidrosophila	nudidrosophila	aenicta	Hardy 1966	2	Chamaesyce, Urera
Drosophila	nudidrosophila	okala	akoko	n sp	1	Chamaesyce
Drosophila	nudidrosophila	nudidrosophila	amita	Hardy 1965	2	Charpentiera, Claoxylon
Drosophila	nudidrosophila	nudidrosophila	canavalia	n sp	2	Canavalia, Charpentiera
Drosophila	nudidrosophila	nudidrosophila	eximia	Hardy 1965	3	Freycinetia, Pisonia, Urera
Drosophila	nudidrosophila	nudidrosophila	gemmula	Hardy 1965	3	Urera
Drosophila	nudidrosophila	velata	halapepe	n sp	1	Pleomele
Drosophila	nudidrosophila	hirtitibia	hirtitibia	Hardy 1965	1	Urera
Drosophila	nudidrosophila	kahania	kahania	n sp	1	Urera
Drosophila	nudidrosophila	velata	kauaiensis	n sp	2	Pleomele
Drosophila	nudidrosophila	hirtitibia	konaensis	n sp	3	Charpentiera, Pisonia
Drosophila	nudidrosophila	okala	kuhao	n sp	1	Hibiscus
Drosophila	nudidrosophila	velata	lauoho	n sp	4	Pleomele
Drosophila	nudidrosophila	nudidrosophila	lepidobregma	Hardy 1965	1	Sapindus
Drosophila	nudidrosophila	nudidrosophila	mahui	n sp	1	Claoxylon
Drosophila	nudidrosophila	hirtitibia	mawaena	n sp	2	Pisonia
Drosophila	nudidrosophila	velata	milolii	n sp	1	Charpentiera
Drosophila	nudidrosophila	okala	okala	n sp	5	Cheirodendron, Clermontia, Sapindus
Drosophila	ateledrosophila		papala	n sp	5	Charpentiera, Pisonia
Drosophila	nudidrosophila	nudidrosophila	poonia	n sp	1	Charpentiera