subgroup	genus	species	hosts	substrate	individuals	notes	stem	leaf_axil_base	bark	flux	stem	fruit	frond
semifuscata	Drosophila	peloristoma	Acacia, Mysine, Nestegis	sap flux	4					TRUE			
unplaced Modified Mouthparts	Drosophila	barbata	Charpentiera, Clermontia, Freycinetia, Pisonia, Urera	bark & stems	8				TRUE		TRUE		
unplaced Modified Mouthparts	Drosophila	barbata	Charpentiera, Clermontia, Freycinetia, Pisonia, Urera	bark & stems	8				TRUE		TRUE		
unplaced Modified Mouthparts	Drosophila	toxacantha	Cheirodendron trigynum	bark	3				TRUE				
unplaced Modified Mouthparts	Drosophila	umiumi	Clermontia	bark	2				TRUE				
freycinetiae	Drosophila	anapuu	Freycinetia	stems	1		TRUE						
freycinetiae	Drosophila	dentilabia	Freycinetia	leaf axils	1	individiual number in question		TRUE					
unplaced Modified Mouthparts	Drosophila	lelolua	Freycinetia	leaf axils	1								
unplaced Modified Mouthparts	Drosophila	apiki	Labordia	bark	1				TRUE				
setiger	Drosophila	desallei	Pisonia	bark	1				TRUE				
unplaced Modified Mouthparts	Drosophila	omnivora	Strongylodon, Touchardia, Urera	pod, bark, fern frond	4				TRUE			TRUE	TRUE
unplaced Modified Mouthparts	Drosophila	wikstroemiae	Wikstroemia	bark	1				TRUE				
freycinetiae	Drosophila	nalomano	Wikstroemia, Touchardia	bark	2				TRUE				