group	clade	genus	species	island	diploid_genome_size	TL	sex	N	notes
adunca	antopocerus	Drosophila	adunca	Maui	0.59 ± 0.007	2.59 ± 0.04	male	3	
adunca	antopocerus	Drosophila	adunca	Maui	0.61 ± 0.01	2.75 ± 0.03	female	2	
planitibia	picture wing	Drosophila	cyrtoloma	Maui	0.82 ± 0.0003	3.29 ± 0.04	male	3	
diamphidiopoda	antopocerus	Drosophila	diamphidiopoda	Maui	0.42 ± 0.006	2.12 ± 0.07	female	5	
grimshawi	picture wing	Drosophila	disjuncta	Maui	0.38	2.13 ± 0.04	male	1	lab reared
grimshawi	picture wing	Drosophila	disjuncta	Maui	0.35	2.22 ± 0.04	female	1	lab reared
grimshawi	picture wing	Drosophila	engyochracea	Hawaii	0.49 ± 0.008	2.47 ± 0.03	female	6	
grimshawi	picture wing	Drosophila	grimshawi_G1	Maui	0.50 ± 0.001	1.88 ± 0.04	female	5	
grimshawi	picture wing	Drosophila	grimshawi_G1	Maui	0.50 ± 0.005	1.98 ± 0.06	male	5	
grimshawi	picture wing	Drosophila	grimshawi_Z55P1	Maui	0.51		male	1	lab reared
grimshawi	picture wing	Drosophila	grimshawi_Z55P1	Maui	0.51		female	1	lab reared
grimshawi	picture wing	Drosophila	hawaiiensis	Hawaii	0.54	1.97 ± 0.02	male	1	lab reared
grimshawi	picture wing	Drosophila	hawaiiensis	Hawaii	0.5	2.09 ± 0.03	female	1	lab reared
planitibia	picture wing	Drosophila	heteroneura	Hawaii	0.42 ± 0.002	2.42 ± 0.03	female	6	lab reared
planitibia	picture wing	Drosophila	heteroneura	Hawaii	0.42 ± 0.003	2.45 ± 0.04	male	5	lab reared
adunca	antopocerus	Drosophila	longiseta	Molokai	0.74 ± 0.008	3.01 ± 0.06	female	5	
adunca	antopocerus	Drosophila	longiseta	Molokai	0.75 ± 0.001	3.22 ± 0.05	male	3	
planitibia	picture wing	Drosophila	melanocephala	Maui	0.46	3.02	male	1	
planitibia	picture wing	Drosophila	melanocephala	Maui	0.47 ± 0.002	2.97 ± 0.1	female	2	
mimica	modified mouthparts	Drosophila	mimica	Hawaii	0.52 ± 0.002	1.80 ± 0.04	female	4	lab reared
planitibia	picture wing	Drosophila	neoperkinsi	Molokai	0.36 ± 0.002	3.36 ± 0.06	male	6	
grimshawi	picture wing	Drosophila	silvarentis	Hawaii	0.55 ± 0.008	1.94 ± 0.05	female	5	lab reared
grimshawi	picture wing	Drosophila	silvarentis	Hawaii	0.57 ± 0.004	2.01 ± 0.04	male	5	lab reared
planitibia	picture wing	Drosophila	silvestris	Hawaii	0.39	2.61 ± 0.05	male	1	lab reared
planitibia	picture wing	Drosophila	silvestris	Hawaii	0.38	2.67 ± 0.04	female	1	lab reared
		Scaptomyza	sp	Hawaii	0.39 ± 0.006		male	2	lab reared
		Scaptomyza	sp	Hawaii	0.42 ± 0.004	0.82 ± 0.02	female	2	
diamphidiopoda	antopocerus	Drosophila	tanythrix	Hawaii	0.44 ± 0.002	2.21 ± 0.03	male	2	
diamphidiopoda	antopocerus	Drosophila	tanythrix	Hawaii	0.46 ± 0.003	2.38 ± 0.04	female	5	
diamphidiopoda	antopocerus	Drosophila	yooni	Hawaii	0.49	1.98	male	1	
diamphidiopoda	antopocerus	Drosophila	yooni	Hawaii	0.50 ± 0.007	2.17 ± 0.03	female	5	