subgenus	genus	species	genus_describer	describer	BL	WL	BWL	sex	type	notes
Alloscaptomyza	Scaptomyza	aberrans	Hackman	n sp	2.2	2.5		male		
Alloscaptomyza	Scaptomyza	aberrans	Hackman	n sp				female		
	Drosophila	abjuncta	sensu lato	n sp	2.5	2.85		male		
	Drosophila	abjuncta	sensu lato	n sp	2.2	2.4		female		
Rosenwaldia	Scaptomyza	abrupta	Malloch	Hackman				male		
Rosenwaldia	Scaptomyza	abrupta	Malloch	Hackman				female		
Trogloscaptomyza	Scaptomyza	acronastes	Frey	n sp	1.5	1.8		male		
Trogloscaptomyza	Scaptomyza	acronastes	Frey	n sp				female		
	Drosophila	acrostichalis	sensu lato	n sp				male		
	Drosophila	acrostichalis	sensu lato	n sp	4	4.8		female		
	Drosophila	adiastola	sensu lato	n sp	5.4	5.55		male		
	Drosophila	adiastola	sensu lato	n sp	5.55	6.1		female		
Trogloscaptomyza	Scaptomyza	adunca	Frey	n sp	2.2	2.5		male		
Trogloscaptomyza	Scaptomyza	adunca	Frey	n sp	2.5	2.8		female		
	Antopocerus	aduncus	n gen	n sp	5.9	6.2		male		
	Antopocerus	aduncus	n gen	n sp				female		
	Drosophila	adventitia	sensu lato	n sp	4.4	4.75		male		
	Drosophila	adventitia	sensu lato	n sp				female		
	Drosophila	agitona	sensu lato	n sp				male		
	Drosophila	agitona	sensu lato	n sp	3.25	3.6		female		
	Drosophila	aglaia	sensu lato	n sp				male		
	Drosophila	aglaia	sensu lato	n sp	4	5		female		
	Drosophila	albifacies	sensu lato	n sp	2.3	2.7		male		
	Drosophila	albifacies	sensu lato	n sp				female		
Tantalia	Scaptomyza	albovittata	Malloch	Malloch	1.5-1.6	1.6-2.0		male		
Tantalia	Scaptomyza	albovittata	Malloch	Malloch				female		
Rosenwaldia	Scaptomyza	aloha	Malloch	Hackman	2.3	2.9		male		
Rosenwaldia	Scaptomyza	aloha	Malloch	Hackman				female		
	Nudidrosophila	amita	n gen	n sp	2.3	2.5		male		
	Nudidrosophila	amita	n gen	n sp				female		
Trogloscaptomyza	Scaptomyza	affinicuspidata	Frey	n sp	2.7	3.3		male		
Trogloscaptomyza	Scaptomyza	affinicuspidata	Frey	n sp	2.7	2.9		female		
	Drosophila	amydrospilota	sensu lato	n sp	3.75	3.9		male		
	Drosophila	amydrospilota	sensu lato	n sp				female		
	Drosophila	ancyla	sensu lato	n sp	2.3	2.5		male		
	Drosophila	ancyla	sensu lato	n sp	2.5	2.8		female		
Trogloscaptomyza	Scaptomyza	anechocerca	Frey	n sp	1.6	1.9		male		
Trogloscaptomyza	Scaptomyza	anechocerca	Frey	n sp				female		
Bunostoma	Scaptomyza	anomala	Malloch	n sp	1.8-2.0	2.0-2.2		male		
Bunostoma	Scaptomyza	anomala	Malloch	n sp			2.3-2.5	female		
	Drosophila	anomalipes	sensu lato	Grimshaw	5.25	6		male		Grimshaw gave the length of the body as 4.5 mm. and the wings as 5.5 mm.
	Drosophila	anomalipes	sensu lato	Grimshaw				female		
	Drosophila	anthrax	sensu lato	n sp			2.9-3.4	male		
	Drosophila	anthrax	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	apiciguttula	Frey	n sp	1.8	2.4		male		
Trogloscaptomyza	Scaptomyza	apiciguttula	Frey	n sp	2.2-2.4	2.5-2.9		female		
	Drosophila	apicipuncta	sensu lato	n sp	3.5	3.75		male		
	Drosophila	apicipuncta	sensu lato	n sp	4.7-5.2	5.0-5.3		female		
	Drosophila	apicisetae	sensu lato	n sp	2.5	2.8		male		
	Drosophila	apicisetae	sensu lato	n sp				female		
	Drosophila	apodasta	sensu lato	n sp	2.2	2.7		male		
	Drosophila	apodasta	sensu lato	n sp	2.3	2.9		female		
	Drosophila	apoxyloma	sensu lato	n sp			3.2	male		
	Drosophila	apoxyloma	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	apponopusilla	Frey	n sp				male		
Trogloscaptomyza	Scaptomyza	apponopusilla	Frey	n sp				female		
	Drosophila	aquila	sensu lato	n sp	2.7	3		male		
	Drosophila	aquila	sensu lato	n sp	3	3.4		female		
	Drosophila	araiotrichia	sensu lato	n sp	2.5-2.8	2.7-3.0		male		
	Drosophila	araiotrichia	sensu lato	n sp	2.7-3.0	3.0-3.4		female		
	Antopocerus	arcuatus	n gen	n sp	5.2	5.4		male		
	Antopocerus	arcuatus	n gen	n sp				female		
Trogloscaptomyza	Scaptomyza	argentifrons	Frey	n sp	2.0-2.3	2.5		male		
Trogloscaptomyza	Scaptomyza	argentifrons	Frey	n sp	2.30-2.60	2.50-2.75		female		
Trogloscaptomyza	Scaptomyza	articulata	Frey	n sp	1.8-2.0	2.2		male		
Trogloscaptomyza	Scaptomyza	articulata	Frey	n sp	2	2.5		female		
	Drosophila	artigena	sensu lato	n sp	3	3.75		male		
	Drosophila	artigena	sensu lato	n sp				female		
	Drosophila	asketostoma	sensu lato	n sp	3	3.9		male		
	Drosophila	asketostoma	sensu lato	n sp	3.3-4.0	4.0-5.0		female		
	Drosophila	attenuata	sensu lato	n sp	2.7	3		male		
	Drosophila	attenuata	sensu lato	n sp				female		
	Drosophila	badia	sensu lato	n sp	3.2	3.6		male		
	Drosophila	badia	sensu lato	n sp				female		
	Drosophila	balioptera	sensu lato	n sp	5.50-5.70	6.25		male		
	Drosophila	balioptera	sensu lato	n sp			5.0-5.2	female		
Trogloscaptomyza	Scaptomyza	basiloba	Frey	n sp	2	2.45		male		
Trogloscaptomyza	Scaptomyza	basiloba	Frey	n sp	2.4	2.7		female		
	Drosophila	basimacula	sensu lato	n sp	4	4.5		male		
	Drosophila	basimacula	sensu lato	n sp	4.25	4.75		female		
	Drosophila	basisetosa	sensu lato	n sp	2.5	2.7		male		
	Drosophila	basisetosa	sensu lato	n sp				female		
	Drosophila	beardsleyi	sensu lato	n sp	3.6	3.9		male		
	Drosophila	beardsleyi	sensu lato	n sp	3.8	4		female		
	Drosophila	bicondyla	sensu lato	n sp	2.6-3.0	3.2-3.5		male		
	Drosophila	bicondyla	sensu lato	n sp	2.6-3.0	3.2-3.5		female		
Trogloscaptomyza	Scaptomyza	bilobata	Frey	n sp	2	2.4		male		
Trogloscaptomyza	Scaptomyza	bilobata	Frey	n sp				female		
Trogloscaptomyza	Scaptomyza	bipars	Frey	n sp	1.6	1.9		male		
Trogloscaptomyza	Scaptomyza	bipars	Frey	n sp				female		
	Drosophila	bipolita	sensu lato	n sp	2.50-2.65	2.8		male		
	Drosophila	bipolita	sensu lato	n sp	2.88	3.2		female		
	Drosophila	biseriata	sensu lato	n sp	2.9	3.1		male		
	Drosophila	biseriata	sensu lato	n sp			3.35	female		
	Drosophila	bostrycha	sensu lato	n sp	4.50-5.00	4.75-5.25		male		
	Drosophila	bostrycha	sensu lato	n sp	4.75-5.00	5.25-5.50		female		
Trogloscaptomyza	Scaptomyza	brachycerca	Frey	n sp	2.15	2.5		male		
Trogloscaptomyza	Scaptomyza	brachycerca	Frey	n sp	2.5	2.7		female		
	Drosophila	brevicilia	sensu lato	n sp	2.7	3		male		
	Drosophila	brevicilia	sensu lato	n sp	3	3.3		female		
	Drosophila	brevissima	sensu lato	n sp	2.5	3		male		
	Drosophila	brevissima	sensu lato	n sp				female		
	Drosophila	brevitarsus	sensu lato	n sp	2.15	2.5		male		
	Drosophila	brevitarsus	sensu lato	n sp				female		
	Drosophila	bridwelli	sensu lato	n sp			3.7	male		
	Drosophila	bridwelli	sensu lato	n sp			4.3	female		
	Drosophila	brunneifrons	sensu lato	n sp	2.7	3		male		
	Drosophila	brunneifrons	sensu lato	n sp				female		
	Idiomyia	brunneipennis	Grimshaw	n sp	4.6	5.8		male		
	Idiomyia	brunneipennis	Grimshaw	n sp				female		
	Drosophila	brunneisetae	sensu lato	n sp	2.5	2.85		male		
	Drosophila	brunneisetae	sensu lato	n sp	2.7	3.2		female		
Tantalia	Scaptomyza	brunnimaculata	Malloch	n sp			1.9	male		
Tantalia	Scaptomyza	brunnimaculata	Malloch	n sp			2.22	female		
	Titanochaeta	bryani	Knab	Wirth	1.85	2.05		male	allotype	
	Titanochaeta	bryani	Knab	Wirth	2	2.15		female	type	
Bunostoma	Scaptomyza	bryanti	Malloch	Hackman	2.1	2.5		male		
Bunostoma	Scaptomyza	bryanti	Malloch	Hackman				female		
Alloscaptomyza	Scaptomyza	buccata	Hackman	Hackman	1.8-2.0	2.2-2.3		male		
Alloscaptomyza	Scaptomyza	buccata	Hackman	Hackman				female		
	Drosophila	caccabata	sensu lato	n sp	3.0-3.6	3.5-4.2		male		
	Drosophila	caccabata	sensu lato	n sp	4.0-4.3	4.3-4.7		female		
Trogloscaptomyza	Scaptomyza	camptochaites	Frey	n sp	1.5	1.75		male		
Trogloscaptomyza	Scaptomyza	camptochaites	Frey	n sp				female		
	Drosophila	canipolita	sensu lato	n sp	2.00-2.25	2.2-2.5		male		
	Drosophila	canipolita	sensu lato	n sp	2.00-2.25	2.20-2.50		female		
	Drosophila	canuta	sensu lato	n sp	3.2	3.6		male		
	Drosophila	canuta	sensu lato	n sp				female		
	Drosophila	capitata	sensu lato	n sp	2.25	2.75		male		
	Drosophila	capitata	sensu lato	n sp				female		
	Drosophila	carnosa	sensu lato	n sp	2.3-2.4	2.7-2.8		male		
	Drosophila	carnosa	sensu lato	n sp				female		
Alloscaptomyza	Scaptomyza	cerina	Hackman	n sp	1.6	1.8		male		
Alloscaptomyza	Scaptomyza	cerina	Hackman	n sp				female		
	Drosophila	chaetopeza	sensu lato	n sp	3	3.8		male		
	Drosophila	chaetopeza	sensu lato	n sp				female		
	Titanochaeta	chauliodon	Knab	n sp	3.4	3.6		male		
	Titanochaeta	chauliodon	Knab	n sp	4.5	4.3		female		
	Drosophila	ciliaticrus	sensu lato	n sp	4.2-4.5	4.5-5.0		male		
	Drosophila	ciliaticrus	sensu lato	n sp				female		
	Drosophila	cilifemorata	sensu lato	n sp	4.5-5.0	5.0-6.0		male		
	Drosophila	cilifemorata	sensu lato	n sp	4.6	5.3		female		
	Drosophila	clavata	sensu lato	n sp	2.25	2.5		male		
	Drosophila	clavata	sensu lato	n sp				female		
	Drosophila	clavitibia	sensu lato	n sp	2.5	2.7		male		
	Drosophila	clavitibia	sensu lato	n sp				female		
	Drosophila	clydonia	sensu lato	n sp	2.5-3.0	3.0-3.3		male		
	Drosophila	clydonia	sensu lato	n sp				female		
	Drosophila	cnecopleura	sensu lato	n sp	2.2	2.5		male		
	Drosophila	cnecopleura	sensu lato	n sp				female		
Bunostoma	Scaptomyza	cnecosoma	Malloch	n sp	1.55	1.8		male		
Bunostoma	Scaptomyza	cnecosoma	Malloch	n sp			1.9-2.0	female		
	Antopocerus	cognatus	n gen	Grimshaw	4.65-5.0	5.0-5.5		male		
	Antopocerus	cognatus	n gen	Grimshaw				female		
	Drosophila	comatifemora	sensu lato	n sp	4.75	4.5		male		
	Drosophila	comatifemora	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	concinna	Frey	n sp	2.1	2.5		male		
Trogloscaptomyza	Scaptomyza	concinna	Frey	n sp	2.2	2.6		female		
	Drosophila	conformis	sensu lato	n sp	2.7-3.0	3.3-3.5		male		
	Drosophila	conformis	sensu lato	n sp				female		
Bunostoma	Scaptomyza	confusa	Malloch	n sp	1.8	2		male		
Bunostoma	Scaptomyza	confusa	Malloch	n sp				female		
	Drosophila	confutata	sensu lato	n sp	3.2-3.5	3.6-3.9		male		
	Drosophila	confutata	sensu lato	n sp	3.0-3.6	3.2-3.9		female		
	Drosophila	conjectura	sensu lato	n sp	2.3-2.5	2.6-2.8		male		
	Drosophila	conjectura	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	connata	Frey	n sp	1.7	1.9		male		
Trogloscaptomyza	Scaptomyza	connata	Frey	n sp	1.75	2		female		
	Drosophila	conspicua	sensu lato	Grimshaw	5.5-6.0	6.5-7.0		male		Grimshaw, in the original description, measured the body as mm. and the wings as 6 mm.
	Drosophila	conspicua	sensu lato	Grimshaw				female		
	Drosophila	contorta	sensu lato	n sp	2.15	2.5		male		
	Drosophila	contorta	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	cornuta	Frey	n sp	2.2	2.5		male		
Trogloscaptomyza	Scaptomyza	cornuta	Frey	n sp	2.3	2.7		female		
	Drosophila	cracens	sensu lato	n sp	2.85	3.2		male		
	Drosophila	cracens	sensu lato	n sp				female		
	Drosophila	crassifemur	sensu lato	Grimshaw	3.5-4.5	3.8-4.6		male		
	Drosophila	crassifemur	sensu lato	Grimshaw				female		
	Drosophila	crucigera	sensu lato	Grimshaw			3.10-4.75	male		This species is quite variable in size.
	Drosophila	crucigera	sensu lato	Grimshaw				female		
Trogloscaptomyza	Scaptomyza	cryptoloba	Frey	n sp	1.6	1.8		male		
Trogloscaptomyza	Scaptomyza	cryptoloba	Frey	n sp				female		
Trogloscaptomyza	Scaptomyza	ctenophora	Frey	n sp	1.9	2.2		male		
Trogloscaptomyza	Scaptomyza	ctenophora	Frey	n sp	2.2	2.5		female		
	Drosophila	curticilia	sensu lato	n sp	1.85	2		male		
	Drosophila	curticilia	sensu lato	n sp				female		
	Drosophila	curvitibia	sensu lato	n sp	3.3	4		male		
	Drosophila	curvitibia	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	cuspidata	Frey	n sp	1.75-2.25	2.00-2.30		male		
Trogloscaptomyza	Scaptomyza	cuspidata	Frey	n sp	2.0-2.7	2.3-2.8		female		
Trogloscaptomyza	Scaptomyza	cyrtandrae	Frey	n sp	1.8-2.0	2.2		male		
Trogloscaptomyza	Scaptomyza	cyrtandrae	Frey	n sp				female		
	Drosophila	dasycnemia	sensu lato	n sp	2.5-2.8	3.0-3.5		male		
	Drosophila	dasycnemia	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	decepta	Frey	n sp	1.8	2.1		male		
Trogloscaptomyza	Scaptomyza	decepta	Frey	n sp				female		
	Drosophila	deltaneuron	sensu lato	Bryan			3.7-4.0	male		
	Drosophila	deltaneuron	sensu lato	Bryan				female		
	Drosophila	demipolita	sensu lato	n sp	2.5	2.85		male		
	Drosophila	demipolita	sensu lato	n sp	2.8	3.2		female		
	Drosophila	denotata	sensu lato	n sp	3.7-4.2	4.0-4.3		male		
	Drosophila	denotata	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	dentata	Frey	n sp	1.75	2		male		
Trogloscaptomyza	Scaptomyza	dentata	Frey	n sp				female		
Trogloscaptomyza	Scaptomyza	devexa	Frey	n sp	2.5	2.85		male		
Trogloscaptomyza	Scaptomyza	devexa	Frey	n sp	2.35	2.7		female		
	Ateledrosophila	diamphidia	n gen	n sp	2.2	2.4		male		
	Ateledrosophila	diamphidia	n gen	n sp				female		
	Antopocerus	diamphidiopodus	n gen	n sp	4.66	4.5		male		
	Antopocerus	diamphidiopodus	n gen	n sp				female		
Trogloscaptomyza	Scaptomyza	diaphorocerca	Frey	n sp	2.5	2.85		male		
Trogloscaptomyza	Scaptomyza	diaphorocerca	Frey	n sp	2.1	2.25		female		
	Drosophila	diffusa	sensu lato	n sp	3.8	4.3		male		
	Drosophila	diffusa	sensu lato	n sp				female		
	Drosophila	diminuens	sensu lato	n sp	4	4.7		male		
	Drosophila	diminuens	sensu lato	n sp				female		
	Drosophila	disjuncta	sensu lato	n sp	6.5	6		male		
	Drosophila	disjuncta	sensu lato	n sp	5.3	5.7		female		
	Drosophila	dissita	sensu lato	n sp	3	3.4		male		
	Drosophila	dissita	sensu lato	n sp				female		
	Drosophila	disticha	sensu lato	n sp	2.5	2.85		male		
	Drosophila	disticha	sensu lato	n sp				female		
	Drosophila	distinguenda	sensu lato	n sp	6.5	6.7		male		
	Drosophila	distinguenda	sensu lato	n sp				female		
	Drosophila	dolomata	sensu lato	n sp	1.8	2.15		male		
	Drosophila	dolomata	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	domita	Frey	n sp	2	2.4		male		
Trogloscaptomyza	Scaptomyza	domita	Frey	n sp	2.5	2.85		female		
	Drosophila	dorsigera	sensu lato	n sp			2.3	male		
	Drosophila	dorsigera	sensu lato	n sp				female		
	Drosophila	dorsociliata	sensu lato	n sp			2.5	male		
	Drosophila	dorsociliata	sensu lato	n sp				female		
	Drosophila	dracaenae	sensu lato	n sp	2.5	2.85		male		
	Drosophila	dracaenae	sensu lato	n sp	2.7	3		female		
Trogloscaptomyza	Scaptomyza	dubautiae	Frey	n sp	1.9	2.2		male		
Trogloscaptomyza	Scaptomyza	dubautiae	Frey	n sp				female		
Trogloscaptomyza	Scaptomyza	dubia	Frey	n sp	1.7	2		male		
Trogloscaptomyza	Scaptomyza	dubia	Frey	n sp	1.9	2.1		female		
	Drosophila	dumalis	sensu lato	n sp	2.7	3		male		
	Drosophila	dumalis	sensu lato	n sp				female		
	Drosophila	engyochracea	sensu lato	n sp	4.8	5.5		male		
	Drosophila	engyochracea	sensu lato	n sp				female		
	Drosophila	enoplotarsus	sensu lato	n sp			2.65	male		
	Drosophila	enoplotarsus	sensu lato	n sp				female		
	Antopocerus	entrichocnemus	n gen	n sp	5.3	5		male		
	Antopocerus	entrichocnemus	n gen	n sp				female		
	Drosophila	eumecothrix	sensu lato	n sp	2.85	2.95		male		
	Drosophila	eumecothrix	sensu lato	n sp				female		
	Drosophila	eurypeza	sensu lato	n sp	2.5-2.7	2.8-3.2		male		
	Drosophila	eurypeza	sensu lato	n sp	4.0-4.2	4.2-4.5		female		
Trogloscaptomyza	Scaptomyza	eurystylata	Frey	n sp	2	2.2		male		
Trogloscaptomyza	Scaptomyza	eurystylata	Frey	n sp	2	2.2		female		
	Titanochaeta	evexa	Knab	n sp	2	2.3		male		
	Titanochaeta	evexa	Knab	n sp	2.1	2.3-2.5		female		
