genus	species	group	BL	WL	BWL	sex	describer
Drosophila	achyla		2.75-3.0	3.2-3.7		male	n sp
Drosophila	achyla		3.2	3.9		female	n sp
Drosophila	amplilobus		3.5-3.7	3.9-4.2		male	n sp
Drosophila	amplilobus		4	4.2		female	n sp
Drosophila	atroscutellata		2.15	2.5		male	n sp
Drosophila	ceratostoma				2.7-2.85	male	n sp
Drosophila	ceratostoma		3.2	3.6		female	n sp
Drosophila	dolichotarsis		6.0-6.2	7.2		male	n sp
Drosophila	gubleri				2.3	male	n sp
Drosophila	kokeensis		2.3	2.7		male	n sp
Drosophila	scitula		2.5	2.7		male	n sp
Drosophila	spiethi		2.3	2.5		male	n sp
Drosophila	spiethi		2.5	3		female	n sp
Idiomyia	clavisetae				5.7-6.0	male	n sp
Idiomyia	clavisetae		5.6	6		female	n sp
Idiomyia	melanocephala		6.4	7		male	n sp
Idiomyia	planitibia		7.2	8.3		female	n sp
Nudidrosophila	aenicta		1.75	2		male	n sp
Nudidrosophila	aenicta		2.2	2.5		female	n sp
Scaptomyza	molokaiensis	Exalloscaptomyza	1.6	1.8		male	n sp
Scaptomyza	caliginosa	Exalloscaptomyza			1.7-2.0	NA	n sp
Scaptomyza	molokaiensis	Exalloscaptomyza	1.8-2.0	2.0-2.2		female	n sp
Scaptomyza	platyrhina	Trogloscaptomyza			2.5-2.7	male	n sp
Titanochaeta	contestata		3.5-4.0	3.5-4.2		male	n sp