clade	subgenus	group	subgroup	genus	species	describer	describer_details	notes
Scaptomyza	Bunostoma			Scaptomyza	xanthopleura	Hardy	1975:02:00	
Scaptomyza	Bunostoma			Scaptomyza	flavella	Harrison	1963:44:00	
Scaptomyza	Bunostoma			Scaptomyza	fuscitarsis	Harrison	1963:47:00	
Scaptomyza	Bunostoma			Scaptomyza	australis	Malloch	1933:18:00	
Scaptomyza	Bunostoma			Scaptomyza	bicolor	Malloch	1938:57:00	
Scaptomyza	Bunostoma			Scaptomyza	flavifacies	Malloch	1935:39:00	[Type of subgenus]
Scaptomyza	Bunostoma			Scaptomyza	boninensis	Okada	1973a: 85	
Scaptomyza	Celidosoma			Scaptomyza	intermedia	duda	1929:31:00	
Scaptomyza	Celidosoma			Scaptomyza	melancholia	duda	1929:33:00	
Scaptomyza	Celidosoma			Scaptomyza	nigrocincta	Hardy	1966:07:00	[Type of subgenus]
Scaptomyza	Celidosoma			Scaptomyza	budnikae	Brncic	1984:14:00	
Scaptomyza	Celidosoma			Scaptomyza	denticauda	Malloch	1941:29:00	[Type of subgenus]
Scaptomyza	Celidosoma			Scaptomyza	multispinosa	Malloch	1941:30:00	
Scaptomyza	Elmomyza			Scaptomyza	inaequalis	Grimshaw	1902:09:00	
Scaptomyza	Elmomyza			Scaptomyza	monticola	Grimshaw	1902:09:00	
Scaptomyza	Elmomyza			Scaptomyza	pusilla	Grimshaw	1902:10:00	
Scaptomyza	Elmomyza			Scaptomyza	obscuricornis	Grimshaw	1902:11:00	
Scaptomyza	Elmomyza			Scaptomyza	obscurifrons	Grimshaw	1902:12:00	
Scaptomyza	Elmomyza			Scaptomyza	exigua	Grimshaw	1902:12:00	[Type of subgenus]
Scaptomyza	Elmomyza			Scaptomyza	longipecten	Hackman	1959:37:00	
Scaptomyza	Elmomyza			Scaptomyza	pallifrons	Hackman	1959:38:00	
Scaptomyza	Elmomyza			Scaptomyza	hardyi	Hackman	1959:39:00	
Scaptomyza	Elmomyza			Scaptomyza	kauaiensis	Hackman	1959:40:00	
Scaptomyza	Elmomyza			Scaptomyza	acronastes	Hardy	1975:44:00	
Scaptomyza	Elmomyza			Scaptomyza	adunca	Hardy	1975:46:00	
Scaptomyza	Elmomyza			Scaptomyza	affinicuspidata	Hardy	1975:46:00	
Scaptomyza	Elmomyza			Scaptomyza	anechocerca	Hardy	1975:48:00	
Scaptomyza	Elmomyza			Scaptomyza	apicigutulla	Hardy	1975:49:00	
Scaptomyza	Elmomyza			Scaptomyza	apponopusilla	Hardy	1975:51:00	
Scaptomyza	Elmomyza			Scaptomyza	argentifrons	Hardy	1975:53:00	
Scaptomyza	Elmomyza			Scaptomyza	articulata	Hardy	1975:54:00	
Scaptomyza	Elmomyza			Scaptomyza	basiloba	Hardy	1975:55:00	
Scaptomyza	Elmomyza			Scaptomyza	bilobata	Hardy	1975:57:00	
Scaptomyza	Elmomyza			Scaptomyza	bipars	Hardy	1975:59:00	
Scaptomyza	Elmomyza			Scaptomyza	brachycerca	Hardy	1976:00:00	
Scaptomyza	Elmomyza			Scaptomyza	camptochaites	Hardy	1976:02:00	
Scaptomyza	Elmomyza			Scaptomyza	concinna	Hardy	1976:03:00	
Scaptomyza	Elmomyza			Scaptomyza	connata	Hardy	1976:05:00	
Scaptomyza	Elmomyza			Scaptomyza	cornuta	Hardy	1976:06:00	
Scaptomyza	Elmomyza			Scaptomyza	cryptoloba	Hardy	1976:08:00	
Scaptomyza	Elmomyza			Scaptomyza	ctenophora	Hardy	1976:10:00	
Scaptomyza	Elmomyza			Scaptomyza	cuspidata	Hardy	1976:11:00	
Scaptomyza	Elmomyza			Scaptomyza	cyrtandrae	Hardy	1976:13:00	
Scaptomyza	Elmomyza			Scaptomyza	decepta	Hardy	1976:15:00	
Scaptomyza	Elmomyza			Scaptomyza	dentata	Hardy	1976:16:00	
Scaptomyza	Elmomyza			Scaptomyza	devexa	Hardy	1976:17:00	
Scaptomyza	Elmomyza			Scaptomyza	diaphorocerca	Hardy	1976:19:00	
Scaptomyza	Elmomyza			Scaptomyza	domita	Hardy	1976:21:00	
Scaptomyza	Elmomyza			Scaptomyza	dubautiae	Hardy	1976:22:00	
Scaptomyza	Elmomyza			Scaptomyza	dubia	Hardy	1976:23:00	
Scaptomyza	Elmomyza			Scaptomyza	eurystylata	Hardy	1976:25:00	
Scaptomyza	Elmomyza			Scaptomyza	evexa	Hardy	1976:26:00	
Scaptomyza	Elmomyza			Scaptomyza	fastigata	Hardy	1976:30:00	
Scaptomyza	Elmomyza			Scaptomyza	hackmani	Hardy	1976:31:00	
Scaptomyza	Elmomyza			Scaptomyza	inermis	Hardy	1976:35:00	
Scaptomyza	Elmomyza			Scaptomyza	infurcula	Hardy	1976:37:00	
Scaptomyza	Elmomyza			Scaptomyza	innotabilis	Hardy	1976:38:00	
Scaptomyza	Elmomyza			Scaptomyza	intricata	Hardy	1976:40:00	
Scaptomyza	Elmomyza			Scaptomyza	isopedon	Hardy	1976:41:00	
Scaptomyza	Elmomyza			Scaptomyza	latitergum	Hardy	1976:44:00	
Scaptomyza	Elmomyza			Scaptomyza	levata	Hardy	1976:46:00	
Scaptomyza	Elmomyza			Scaptomyza	lobifera	Hardy	1976:47:00	
Scaptomyza	Elmomyza			Scaptomyza	griseonigra	Hardy	1976:50:00	
Scaptomyza	Elmomyza			Scaptomyza	mecocerca	Hardy	1976:51:00	
Scaptomyza	Elmomyza			Scaptomyza	mediana	Hardy	1976:52:00	
Scaptomyza	Elmomyza			Scaptomyza	mimula	Hardy	1976:54:00	
Scaptomyza	Elmomyza			Scaptomyza	multidenta	Hardy	1976:56:00	
Scaptomyza	Elmomyza			Scaptomyza	ochromata	Hardy	1977:00:00	
Scaptomyza	Elmomyza			Scaptomyza	ostensa	Hardy	1977:02:00	
Scaptomyza	Elmomyza			Scaptomyza	paralobae	Hardy	1977:05:00	
Scaptomyza	Elmomyza			Scaptomyza	penicula	Hardy	1977:07:00	
Scaptomyza	Elmomyza			Scaptomyza	photophilia	Hardy	1977:08:00	
Scaptomyza	Elmomyza			Scaptomyza	phryxothrix	Hardy	1977:10:00	
Scaptomyza	Elmomyza			Scaptomyza	protensa	Hardy	1977:11:00	
Scaptomyza	Elmomyza			Scaptomyza	punctivena	Hardy	1977:13:00	
Scaptomyza	Elmomyza			Scaptomyza	quadridentata	Hardy	1977:17:00	
Scaptomyza	Elmomyza			Scaptomyza	recava	Hardy	1977:18:00	
Scaptomyza	Elmomyza			Scaptomyza	recta	Hardy	1977:20:00	
Scaptomyza	Elmomyza			Scaptomyza	retusa	Hardy	1977:22:00	
Scaptomyza	Elmomyza			Scaptomyza	robusta	Hardy	1977:22:00	
Scaptomyza	Elmomyza			Scaptomyza	rostrata	Hardy	1977:25:00	
Scaptomyza	Elmomyza			Scaptomyza	rotundiloba	Hardy	1977:26:00	
Scaptomyza	Elmomyza			Scaptomyza	scoliops	Hardy	1977:28:00	
Scaptomyza	Elmomyza			Scaptomyza	scoloplichas	Hardy	1977:30:00	
Scaptomyza	Elmomyza			Scaptomyza	setiger	Hardy	1977:31:00	
Scaptomyza	Elmomyza			Scaptomyza	setosiloba	Hardy	1977:33:00	
Scaptomyza	Elmomyza			Scaptomyza	silvicola	Hardy	1977:34:00	
Scaptomyza	Elmomyza			Scaptomyza	spilota	Hardy	1977:36:00	
Scaptomyza	Elmomyza			Scaptomyza	tenuata	Hardy	1977:37:00	
Scaptomyza	Elmomyza			Scaptomyza	trivittata	Hardy	1977:39:00	
Scaptomyza	Elmomyza			Scaptomyza	tumidula	Hardy	1977:41:00	
Scaptomyza	Elmomyza			Scaptomyza	uliginosa	Hardy	1977:43:00	
Scaptomyza	Elmomyza			Scaptomyza	umbrosa	Hardy	1977:45:00	
Scaptomyza	Elmomyza			Scaptomyza	univitta	Hardy	1977:46:00	
Scaptomyza	Elmomyza			Scaptomyza	vagabunda	Hardy	1977:48:00	
Scaptomyza	Elmomyza			Scaptomyza	varia	Hardy	1977:49:00	
Scaptomyza	Elmomyza			Scaptomyza	villosa	Hardy	1977:50:00	
Scaptomyza	Elmomyza			Scaptomyza	waialealeae	Hardy	1977:52:00	
Scaptomyza	Elmomyza			Scaptomyza	platyrhina	Hardy	1969:58:00	
Scaptomyza	Engiscaptomyza			Scaptomyza	nasalis	Grimshaw	1902:06:00	
Scaptomyza	Engiscaptomyza			Scaptomyza	crassifemur	Grimshaw	1902:06:00	[Type of subgenus]
Scaptomyza	Engiscaptomyza			Scaptomyza	lonchoptera	Hardy	1970:45:00	
Scaptomyza	Engiscaptomyza			Scaptomyza	reducta	Hardy	1972:25:00	
Scaptomyza	Engiscaptomyza			Scaptomyza	amplilobus	Hardy	1969:17:00	
Scaptomyza	Engiscaptomyza			Scaptomyza	inflatus	Kaneshiro	1970:20:00	
Scaptomyza	Euscaptomyza			Scaptomyza	chylizosoma	Séguy	1943:47:00	[Type of subgenus]
Scaptomyza	Euscaptomyza			Scaptomyza	deemingi	Tsacas	1977:48:00	
Scaptomyza	Euscaptomyza			Scaptomyza	kilembea	Tsacas	1977:51:00	
Scaptomyza	Exalloscaptomyza			Scaptomyza	mauiensis	Grimshaw	1902:07:00	[Type of subgenus]
Scaptomyza	Exalloscaptomyza			Scaptomyza	throckmortoni	Hardy	1966:	
Scaptomyza	Exalloscaptomyza			Scaptomyza	caliginosa	Hardy	1969:53:00	
Scaptomyza	Exalloscaptomyza			Scaptomyza	deludens	Hardy	1969:54:00	
Scaptomyza	Exalloscaptomyza			Scaptomyza	molokaiensis	Hardy	1969:56:00	
Scaptomyza	Exalloscaptomyza			Scaptomyza	oahuensis	Hardy	1969:56:00	
Scaptomyza	Grimshawomyia			Scaptomyza	undulata	Grimshaw	1901:58:00	
Scaptomyza	Grimshawomyia			Scaptomyza	perkinsi	Grimshaw	1901:59:00	[Type of subgenus]
Scaptomyza	Grimshawomyia			Scaptomyza	palata	Hardy	1973:56:00	
Scaptomyza	Hemiscaptomyza			Scaptomyza	terminalis	Loew	1863a: 32	
Scaptomyza	Hemiscaptomyza			Scaptomyza	apicata	Thomson	1878:57:00	
Scaptomyza	Hemiscaptomyza			Scaptomyza	unipunctum	Zetterstedt	1889:13:00	[Type of subgenus]
Scaptomyza	Hemiscaptomyza			Scaptomyza	maculifera	Becker	1923:30:00	
Scaptomyza	Hemiscaptomyza			Scaptomyza	trochanterata	collin	1955:30:00	
Scaptomyza	Hemiscaptomyza			Scaptomyza	hsui	Hackman	1956:28:00	
Scaptomyza	Hemiscaptomyza			Scaptomyza	okadai	Hackman	1959:58:00	
Scaptomyza	Hemiscaptomyza			Scaptomyza	hennigi	Hackman	1960:00:00	
Scaptomyza	Hemiscaptomyza			Scaptomyza	apicipuncta	Malloch	1941:31:00	
Scaptomyza	Hemiscaptomyza			Scaptomyza	carinata	Okada	1973b: 274	
Scaptomyza	Hemiscaptomyza			Scaptomyza	longipennis	Séguy	1943:49:00	
Scaptomyza	Hemiscaptomyza			Scaptomyza	taigensis	Sidorenko & Toda, in Toda etal.	2003:40:00	
Scaptomyza	Hemiscaptomyza			Scaptomyza	malada	Wheeler & Takada	1967:00:00	
Scaptomyza	Hemiscaptomyza			Scaptomyza	hirsuta	Wheeler	1951:46:00	
Scaptomyza	Hemiscaptomyza			Scaptomyza	bipunctipennis	Wheeler	1955:26:00	
Scaptomyza	Lauxanomyza			Scaptomyza	horaeoptera	Tsacas & cogan	1977:31:00	[Type of subgenus]
Scaptomyza	Macroscaptomyza			Scaptomyza	helvola	Frey	1954:30:00	
Scaptomyza	Macroscaptomyza			Scaptomyza	remota	Walker	1867:31:00	[Type of subgenus]
Scaptomyza	Mesoscaptomyza			Scaptomyza	vittata	coquillett,inJohnson & coquillett	1900:18:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	pseudovittata	Brncic	1959:06:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	wheeleri	Hackman	1959:49:00	[Type of subgenus]
Scaptomyza	Mesoscaptomyza			Scaptomyza	subvittata	Hackman	1959:50:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	nigripalpis	Malloch	1924:10:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	fuscinervis	Malloch	1924:11:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	bogotae	Wheeler & Takada	1967:04:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	coquilletti	Wheeler & Takada	1967:04:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	dankoi	Wheeler & Takada	1967:06:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	nigricosta	Wheeler & Takada	1967:08:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	personata	Wheeler & Takada	1967:08:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	pleurolineata	Wheeler & Takada	1967:10:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	salvadorae	Wheeler & Takada	1967:10:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	samurai	Wheeler & Takada	1967:11:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	setosa	Wheeler & Takada	1967:12:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	striaticeps	Wheeler & Takada	1967:12:00	
Scaptomyza	Mesoscaptomyza			Scaptomyza	paravittata	Wheeler	1955:20:00	
Scaptomyza	Metascaptomyza			Scaptomyza	cochleata	Burla	1957:45:00	[Type of subgenus]
Scaptomyza	Metascaptomyza			Scaptomyza	dorsalis	Séguy	1943:48:00	
Scaptomyza	Metascaptomyza			Scaptomyza	pygaea	Tsacas	1992:27:00	
Scaptomyza	Parascaptomyza			Scaptomyza	impunctata	Frey	1946:10:00	
Scaptomyza	Parascaptomyza			Scaptomyza	horrida	Frey	1954:22:00	
Scaptomyza	Parascaptomyza			Scaptomyza	pectinifera	Frey	1954:24:00	
Scaptomyza	Parascaptomyza			Scaptomyza	incerta	Frey	1954:25:00	
Scaptomyza	Parascaptomyza			Scaptomyza	angustipennis	Frey	1954:26:00	
Scaptomyza	Parascaptomyza			Scaptomyza	frustulifera	Frey	1954:31:00	
Scaptomyza	Parascaptomyza			Scaptomyza	adusta	Loew	1865:51:00	
Scaptomyza	Parascaptomyza			Scaptomyza	pallida	Zetterstedt	1889:51:00	[Type of subgenus]
Scaptomyza	Parascaptomyza			Scaptomyza	substrigata	de Meijere	1918:28:00	
Scaptomyza	Parascaptomyza			Scaptomyza	freyi	Hackman	1959:43:00	
Scaptomyza	Parascaptomyza			Scaptomyza	picifemorata	Hackman	1959:45:00	
Scaptomyza	Parascaptomyza			Scaptomyza	taiwanica	Lin & Ting	1971:22:00	
Scaptomyza	Parascaptomyza			Scaptomyza	latifrons	Malloch	1935:41:00	
Scaptomyza	Parascaptomyza			Scaptomyza	mumfordi	Malloch	1933:22:00	
Scaptomyza	Parascaptomyza			Scaptomyza	quadriseriata	Malloch	1937:14:00	
Scaptomyza	Parascaptomyza			Scaptomyza	exilis	McEvey	1990:59:00	
Scaptomyza	Parascaptomyza			Scaptomyza	spinipalpis	Séguy	1934:11:00	
Scaptomyza	Parascaptomyza			Scaptomyza	elmoi	Takada	1972:24:00	
Scaptomyza	Parascaptomyza			Scaptomyza	himalayana	Takada	1972:26:00	
Scaptomyza	Parascaptomyza			Scaptomyza	oxyphallus	Tsacas	1992:28:00	
Scaptomyza	Parascaptomyza			Scaptomyza	santacruzi	Val, in Carson et al.	1987:03:00	
Scaptomyza	Parascaptomyza			Scaptomyza	clavifera	Wheeler & Takada	1967:14:00	
Scaptomyza	Parascaptomyza			Scaptomyza	macroptera	Wheeler & Takada	1967:15:00	
Scaptomyza	Parascaptomyza			Scaptomyza	paradusta	Wheeler	1955:18:00	
Scaptomyza	Rosenwaldia			Scaptomyza	kaavae	Malloch	1937:15:00	[Type of subgenus]
Scaptomyza	Rosenwaldia			Scaptomyza	aloha	Hackman	1959:35:00	
Scaptomyza	Rosenwaldia			Scaptomyza	mediopallens	Hackman	1959:35:00	
Scaptomyza	Rosenwaldia			Scaptomyza	mitchelli	Hackman	1959:36:00	
Scaptomyza	Rosenwaldia			Scaptomyza	striatifrons	Hackman	1959:36:00	
Scaptomyza	Rosenwaldia			Scaptomyza	abrupta	Hackman	1959:37:00	
Scaptomyza	Rosenwaldia			Scaptomyza	finitima	Hardy	1975:12:00	
Scaptomyza	Scaptomyza			Scaptomyza	subsplendens	duda	1935:10:00	
Scaptomyza	Scaptomyza			Scaptomyza	flava	Fallén	1823: 7	
Scaptomyza	Scaptomyza			Scaptomyza	graminum	Fallén	1823: 8	[Type of subgenus]
Scaptomyza	Scaptomyza			Scaptomyza	griseola	Zetterstedt	1889:42:00	
Scaptomyza	Scaptomyza			Scaptomyza	noei	Brncic	1959:05:00	
Scaptomyza	Scaptomyza			Scaptomyza	consimilis	Hackman	1956:22:00	
Scaptomyza	Scaptomyza			Scaptomyza	teinoptera	Hackman	1956:22:00	
Scaptomyza	Scaptomyza			Scaptomyza	atlantica	Hackman	1956:29:00	
Scaptomyza	Scaptomyza			Scaptomyza	atahulapa	Hackman	1959:59:00	
Scaptomyza	Scaptomyza			Scaptomyza	flaviventris	Hackman	1960:03:00	
Scaptomyza	Scaptomyza			Scaptomyza	grahmi	Hackman	1960:04:00	
Scaptomyza	Scaptomyza			Scaptomyza	sub	iana Wheeler & Takada	1966:50:00	
Scaptomyza	Scaptomyza			Scaptomyza	choi	Kang, Lee, & Bahng	1965:51:00	
Scaptomyza	Scaptomyza			Scaptomyza	tistai	Kumar & Gupta	1992:48:00	
Scaptomyza	Scaptomyza			Scaptomyza	sinica	Lin & Ting	1971:24:00	
Scaptomyza	Scaptomyza			Scaptomyza	mateolata	McEvey	1990:53:00	
Scaptomyza	Scaptomyza			Scaptomyza	merina	McEvey	1990:56:00	
Scaptomyza	Scaptomyza			Scaptomyza	acuta	Nishiharu	1979:41:00	
Scaptomyza	Scaptomyza			Scaptomyza	polygonia	Okada	1957:14:00	
Scaptomyza	Scaptomyza			Scaptomyza	parasplendens	Okada	1966:59:00	
Scaptomyza	Scaptomyza			Scaptomyza	melanissima	Okada	1967:02:00	
Scaptomyza	Scaptomyza			Scaptomyza	silvata	Okada	1967:03:00	
Scaptomyza	Scaptomyza			Scaptomyza	clavata	Okada	1973c: 435	
Scaptomyza	Scaptomyza			Scaptomyza	yakutica	Sidorenko & Toda in Toda etal.	2003:42:00	
Scaptomyza	Scaptomyza			Scaptomyza	baechlii	Sidorenko	2000:42:00	
Scaptomyza	Scaptomyza			Scaptomyza	sichuanica	Sidorenko	1995: 2	
Scaptomyza	Scaptomyza			Scaptomyza	quadruangulata	Singh & dash	1995:18:00	
Scaptomyza	Scaptomyza			Scaptomyza	amplialata	Takada, Beppu, & Toda	1980:55:00	
Scaptomyza	Scaptomyza			Scaptomyza	santahelenica	Tsacas & cogan	1977:26:00	
Scaptomyza	Scaptomyza			Scaptomyza	mimitantalia	Tsacas & cogan	1977:29:00	
Scaptomyza	Scaptomyza			Scaptomyza	andiana	Wheeler & Takada	1966:43:00	
Scaptomyza	Scaptomyza			Scaptomyza	heedi	Wheeler & Takada	1966:46:00	
Scaptomyza	Scaptomyza			Scaptomyza	neoandina	Wheeler & Takada	1966:48:00	
Scaptomyza	Scaptomyza			Scaptomyza	parandina	Wheeler & Takada	1966:50:00	
Scaptomyza	Scaptomyza			Scaptomyza	montana	Wheeler	1951:46:00	
Scaptomyza	Scaptomyza			Scaptomyza	nigrocella	Wheeler	1951:47:00	
Scaptomyza	Scaptomyza			Scaptomyza	nigrita	Wheeler	1955:25:00	
Scaptomyza	Tantalia			Scaptomyza	albovittata	Malloch	1938:53:00	[Type of subgenus]
Scaptomyza	Tantalia			Scaptomyza	brunnimaculata	Hardy	1975:20:00	
Scaptomyza	Tantalia			Scaptomyza	flavida	Hardy	1975:22:00	
Scaptomyza	Tantalia			Scaptomyza	gilvivirilia	Hardy	1975:24:00	
Scaptomyza	Tantalia			Scaptomyza	nigrosignata	Hardy	1975:25:00	
Scaptomyza	Tantalia			Scaptomyza	varipicta	Hardy	1975:27:00	
Scaptomyza	Titanochaeta			Scaptomyza	canuta	Hardy	1968:20:00	
Scaptomyza	Titanochaeta			Scaptomyza	chauliodon	Hardy	1977:58:00	
Scaptomyza	Titanochaeta			Scaptomyza	glauca	Hardy	1978:02:00	
Scaptomyza	Titanochaeta			Scaptomyza	setosiscutellum	Hardy	1978:08:00	
Scaptomyza	Titanochaeta			Scaptomyza	vittiger	Hardy	1978:13:00	
Scaptomyza	Titanochaeta			Scaptomyza	contestata	Hardy	1970:00:00	
Scaptomyza	Titanochaeta			Scaptomyza	ichneumon	Knab	1916:48:00	[Type of subgenus]
Scaptomyza	Titanochaeta			Scaptomyza	sweyzei	Wirth	1958:55:00	
Scaptomyza	Titanochaeta			Scaptomyza	bryani	Wirth	1958:57:00	
Scaptomyza	Titanochaeta			Scaptomyza	neoevexa	O’Grady, Bonacum, deSalle, & Val	2003:12:00	
Scaptomyza	Titanochaeta			Scaptomyza	neokauaiensis	O’Grady, Bonacum, deSalle, & Val	2003:12:00	
Scaptomyza	Titanochaeta			Scaptomyza	neosilvicola	O’Grady, Bonacum, deSalle, & Val	2003:12:00	
Scaptomyza	Trogloscaptomyza			Scaptomyza	brevilamellata	Frey	1954:21:00	[Type of subgenus]
Scaptomyza	Unplaced Scaptomyza species			Scaptomyza	parva	Grimshaw	1902:05:00	
Scaptomyza	Unplaced Scaptomyza species			Scaptomyza	improcera	Hardy	1970:17:00	
Scaptomyza	Unplaced Scaptomyza species			Scaptomyza	magnipalpa	Hardy	1970:52:00	
Scaptomyza	Unplaced Scaptomyza species			Scaptomyza	prolixa	Hardy	1972:10:00	
Scaptomyza	Unplaced Scaptomyza species			Scaptomyza	taractica	Hardy	1972:59:00	
Scaptomyza	Unplaced Scaptomyza species			Scaptomyza	totonigra	Hardy	1973:06:00	
Scaptomyza	Unplaced Scaptomyza species			Scaptomyza	vinnula	Hardy	1973:30:00	
Scaptomyza	Unplaced Scaptomyza species			Scaptomyza	gracilis	Walker	1856:59:00	
Scaptomyza	Unplaced Scaptomyza species			Scaptomyza	biseta	Malloch	1935:42:00	
Scaptomyza	Unplaced Scaptomyza species			Scaptomyza	ruficornis	Meigen	1844:15:00	
Scaptomyza	Unplaced Scaptomyza species			Scaptomyza	spiculipennis	Takada & Momma	1975:33:00	
Unplaced Hawaiian Drosophila species				Drosophila	molokaiensis	Grimshaw	1902:07:00	
Unplaced Hawaiian Drosophila species				Drosophila	plumosa	Grimshaw	1902:12:00	
Unplaced Hawaiian Drosophila species				Drosophila	abjuncta	Hardy	1967:10:00	
Unplaced Hawaiian Drosophila species				Drosophila	confutata	Hardy	1968:41:00	
Unplaced Hawaiian Drosophila species				Drosophila	incompleta	Hardy	1970:20:00	
Unplaced Hawaiian Drosophila species				Drosophila	joycei	Hardy	1970:32:00	
Unplaced Hawaiian Drosophila species				Drosophila	mimiconfutata	Hardy	1971:09:00	
Unplaced Hawaiian Drosophila species				Drosophila	musae	Hardy	1971:13:00	
Unplaced Hawaiian Drosophila species				Drosophila	nigripalpus	Hardy	1971:29:00	
Unplaced Hawaiian Drosophila species				Drosophila	varga	Hardy	1973:16:00	
Unplaced Hawaiian Drosophila species				Drosophila	achyla	Hardy	1969:15:00	